date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,82.28,83.28,81.5,82.76,82.76,429627,429627,0.48,0.58337,82.51,"October 06, 23",0.0058337
2023-10-05,84.45,84.92,82.15,82.31,82.31,459995,459995,-2.14,-2.53,83.13,"October 05, 23",-0.0253
2023-10-04,89.42,89.59,84.16,84.22,84.22,459995,459995,-5.2,-5.82,85.99,"October 04, 23",-0.0582
2023-10-03,88.67,90.27,87.76,89.23,89.23,350659,350659,0.56,0.63156,89.09,"October 03, 23",0.0063156
2023-10-02,90.82,91.88,88.46,88.82,88.82,334493,334493,-2,-2.2,89.72,"October 02, 23",-0.022
2023-10-01,90.82,91.13,90.82,91.04,91.04,775,775,0.22,0.24224,91,"October 01, 23",0.0024224
2023-09-29,91.76,93.1,90.35,90.79,90.79,355782,355782,-0.97,-1.06,91.41,"September 29, 23",-0.0106
2023-09-28,93.78,95.03,91.39,91.71,91.71,406709,406709,-2.07,-2.21,92.71,"September 28, 23",-0.0221
2023-09-27,90.53,94.17,90.4,93.68,93.68,504630,504630,3.15,3.48,92.75,"September 27, 23",0.0348
2023-09-26,89.88,90.74,88.19,90.39,90.39,318016,318016,0.51,0.56742,89.77,"September 26, 23",0.0056742
2023-09-25,90.55,90.83,89.03,89.68,89.68,328369,328369,-0.87,-0.9608,89.85,"September 25, 23",-0.009608
2023-09-24,90.55,90.55,90.17,90.29,90.29,1110,1110,-0.26,-0.28713,90.34,"September 24, 23",-0.0028713
2023-09-22,89.62,91.33,89.31,90.03,90.03,402087,402087,0.41,0.45749,90.22,"September 22, 23",0.0045749
2023-09-21,89.3,90.98,88.37,89.63,89.63,351032,351032,0.33,0.36954,89.66,"September 21, 23",0.0036954
2023-09-20,91.55,91.98,89.87,90.28,90.28,457854,457854,-1.27,-1.39,90.71,"September 20, 23",-0.0139
2023-09-19,92.22,93.74,91.07,91.2,91.2,94597,94597,-1.02,-1.11,92,"September 19, 23",-0.0111
2023-09-18,91.2,92.43,90.75,91.48,91.48,119258,119258,0.28,0.30702,91.55,"September 18, 23",0.0030702
2023-09-17,91.2,91.21,91.04,91.1,91.1,847,847,-0.1,-0.10965,91.12,"September 17, 23",-0.0010965
2023-09-15,90.67,91.23,89.22,90.77,90.77,315003,315003,0.1,0.11029,90.41,"September 15, 23",0.0011029
2023-09-14,88.81,90.79,88.68,90.16,90.16,325270,325270,1.35,1.52,89.88,"September 14, 23",0.0152
2023-09-13,88.75,89.64,88.29,88.52,88.52,345972,345972,-0.23,-0.25915,88.82,"September 13, 23",-0.0025915
2023-09-12,87.27,89.37,87.22,88.84,88.84,341137,341137,1.57,1.8,88.48,"September 12, 23",0.018
2023-09-11,87.4,88.15,86.71,87.29,87.29,292388,292388,-0.11,-0.12586,87.38,"September 11, 23",-0.0012586
2023-09-10,87.4,87.49,86.94,86.97,86.97,2922,2922,-0.43,-0.49199,87.13,"September 10, 23",-0.0049199
2023-09-08,86.78,87.95,86.15,87.51,87.51,294437,294437,0.73,0.84121,87.2,"September 08, 23",0.0084121
2023-09-07,87.54,87.74,86.39,86.87,86.87,270736,270736,-0.67,-0.76536,87,"September 07, 23",-0.0076536
2023-09-06,86.72,88.08,85.93,87.54,87.54,307115,307115,0.82,0.94557,87.18,"September 06, 23",0.0094557
2023-09-05,86.06,88.07,85.02,86.69,86.69,452908,452908,0.63,0.73205,86.59,"September 05, 23",0.0073205
2023-09-04,86.06,86.14,85.27,85.93,85.93,91761,91761,-0.13,-0.15106,85.78,"September 04, 23",-0.0015106
2023-09-03,86.06,86.09,83.46,85.65,85.65,389406,389406,-0.41,-0.47641181,85.07,"September 03, 23",-0.0047641181
2023-09-01,83.63,86.06,83.46,85.55,85.55,420461,420461,1.92,2.3,85.02,"September 01, 23",0.023
2023-08-31,81.7,83.69,81.48,83.63,83.63,368848,368848,1.93,2.36,82.93,"August 31, 23",0.0236
2023-08-30,81.29,82.05,80.88,81.63,81.63,299418,299418,0.34,0.41826,81.52,"August 30, 23",0.0041826
2023-08-29,79.98,81.41,79.34,81.16,81.16,284168,284168,1.18,1.48,80.64,"August 29, 23",0.0148
2023-08-28,80.15,80.87,79.61,80.1,80.1,246584,246584,-0.05,-0.06238303,80.19,"August 28, 23",-0.0006238303
2023-08-27,80.15,80.34,80,80.29,80.29,937,937,0.14,0.17467,80.21,"August 27, 23",0.0017467
2023-08-25,78.88,80.45,78.14,79.83,79.83,349230,349230,0.95,1.2,79.47,"August 25, 23",0.012
2023-08-24,78.57,79.28,77.59,79.05,79.05,349230,349230,0.48,0.61092,78.64,"August 24, 23",0.0061092
2023-08-23,79.64,79.91,77.62,78.89,78.89,378146,378146,-0.75,-0.94174,78.81,"August 23, 23",-0.0094174
2023-08-22,80.8,80.99,80.1,80.35,80.35,287489,287489,-0.45,-0.55693,80.48,"August 22, 23",-0.0055693
2023-08-21,81.43,82.47,80.61,80.72,80.72,115874,115874,-0.71,-0.87191,81.27,"August 21, 23",-0.0087191
2023-08-20,81.43,81.43,81.07,81.13,81.13,309,309,-0.3,-0.36841,81.21,"August 20, 23",-0.0036841
2023-08-18,80.04,81.61,79.59,81.25,81.25,128090,128090,1.21,1.51,80.82,"August 18, 23",0.0151
2023-08-17,79.25,81.08,78.95,80.39,80.39,235581,235581,1.14,1.44,80.14,"August 17, 23",0.0144
2023-08-16,81.23,81.43,79.05,79.38,79.38,325403,325403,-1.85,-2.28,79.95,"August 16, 23",-0.0228
2023-08-15,82.52,82.91,80.4,80.99,80.99,303207,303207,-1.53,-1.85,81.43,"August 15, 23",-0.0185
2023-08-14,83.09,83.2,81.76,82.51,82.51,277352,277352,-0.58,-0.69804,82.49,"August 14, 23",-0.0069804
2023-08-13,83.09,83.1,82.95,82.98,82.98,460,460,-0.11,-0.13239,83.01,"August 13, 23",-0.0013239
2023-08-11,82.83,83.81,82.23,83.19,83.19,331254,331254,0.36,0.43463,83.08,"August 11, 23",0.0043463
2023-08-10,84.25,84.89,82.58,82.82,82.82,362188,362188,-1.43,-1.7,83.43,"August 10, 23",-0.017
2023-08-09,82.88,84.65,82.67,84.4,84.4,478140,478140,1.52,1.83,83.91,"August 09, 23",0.0183
2023-08-08,82.53,83.08,79.9,82.92,82.92,424545,424545,0.39,0.47256,81.97,"August 08, 23",0.0047256
2023-08-07,82.82,83.3,81.52,81.94,81.94,293036,293036,-0.88,-1.06,82.25,"August 07, 23",-0.0106
2023-08-06,82.82,83.24,82.75,83.13,83.129997,2143,2143,0.31,0.37431,83.04,"August 06, 23",0.0037431
2023-08-04,81.73,83.24,81.51,82.82,82.82,320873,320873,1.09,1.33,82.52,"August 04, 23",0.0133
2023-08-03,79.77,81.86,78.69,81.55,81.55,402641,402641,1.78,2.23,80.7,"August 03, 23",0.0223
2023-08-02,82.05,82.43,79.05,79.49,79.49,414825,414825,-2.56,-3.12,80.32,"August 02, 23",-0.0312
2023-08-01,81.73,82.22,80.59,81.37,81.37,307859,307859,-0.36,-0.44047,81.39,"August 01, 23",-0.0044047
2023-07-31,80.65,82,80.13,81.8,81.800003,297270,297270,1.15,1.43,81.31,"July 31, 23",0.0143
2023-07-30,80.65,80.65,80.52,80.62,80.620003,756,756,-0.03,-0.03719777,80.6,"July 30, 23",-0.0003719777
2023-07-28,79.84,80.71,79.07,80.58,80.580002,299547,299547,0.74,0.92685,80.12,"July 28, 23",0.0092685
2023-07-27,78.9,80.6,78.87,80.09,80.089996,374358,374358,1.19,1.51,79.85,"July 27, 23",0.0151
2023-07-26,79.34,79.77,78.55,78.78,78.779999,322031,322031,-0.56,-0.70582,79.03,"July 26, 23",-0.0070582
2023-07-25,78.85,79.9,78.29,79.63,79.629997,349600,349600,0.78,0.98922,79.27,"July 25, 23",0.0098922
2023-07-24,77.01,79.28,76.44,78.74,78.739998,368285,368285,1.73,2.25,78.15,"July 24, 23",0.0225
2023-07-23,77.01,77.02,76.77,76.78,76.779999,482,482,-0.23,-0.29866,76.86,"July 23, 23",-0.0029866
2023-07-21,75.7,77.29,75.69,77.07,77.07,308106,308106,1.37,1.81,76.68,"July 21, 23",0.0181
2023-07-20,75.35,76.15,74.72,75.63,75.629997,340962,340962,0.28,0.3716,75.5,"July 20, 23",0.003716
2023-07-19,75.84,76.97,75.07,75.35,75.349998,92920,92920,-0.49,-0.6461,75.8,"July 19, 23",-0.006461
2023-07-18,74.18,75.96,73.88,75.75,75.75,125092,125092,1.57,2.12,75.2,"July 18, 23",0.0212
2023-07-17,75.02,76.09,73.84,74.15,74.150002,244785,244785,-0.87,-1.16,74.69,"July 17, 23",-0.0116
2023-07-16,75.02,75.14,74.81,74.87,74.870003,1470,1470,-0.15,-0.19995,74.94,"July 16, 23",-0.0019995
2023-07-14,77.16,77.3,75.11,75.42,75.419998,299576,299576,-1.74,-2.26,75.94,"July 14, 23",-0.0226
2023-07-13,75.85,77.33,75.32,76.89,76.889999,379728,379728,1.04,1.37,76.51,"July 13, 23",0.0137
2023-07-12,74.83,76.15,74.67,75.75,75.75,352887,352887,0.92,1.23,75.52,"July 12, 23",0.0123
2023-07-11,73.19,74.96,72.98,74.83,74.830002,326883,326883,1.64,2.24,74.26,"July 11, 23",0.0224
2023-07-10,73.86,74.15,72.67,72.99,72.989998,301014,301014,-0.87,-1.18,73.27,"July 10, 23",-0.0118
2023-07-09,73.86,74,73.51,73.56,73.559998,1091,1091,-0.3,-0.40617,73.69,"July 09, 23",-0.0040617
2023-07-07,71.89,73.92,71.19,73.86,73.860001,362632,362632,1.97,2.74,72.99,"July 07, 23",0.0274
2023-07-06,71.8,72.34,70.22,71.8,71.800003,395381,395381,0,0,71.45,"July 06, 23",0
2023-07-05,70.15,72.17,69.9,71.79,71.790001,456809,456809,1.64,2.34,71.29,"July 05, 23",0.0234
2023-07-04,70.15,71.36,69.9,71,71,93634,93634,0.85,1.21,70.75,"July 04, 23",0.0121
2023-07-03,70.45,71.77,69.69,69.79,69.790001,303479,303479,-0.66,-0.93683,70.42,"July 03, 23",-0.0093683
2023-07-02,70.45,70.86,70.39,70.43,70.43,1201,1201,-0.02,-0.02838893,70.56,"July 02, 23",-0.0002838893
2023-06-30,69.82,71.04,69.53,70.64,70.639999,299873,299873,0.82,1.17,70.4,"June 30, 23",0.0117
2023-06-29,69.25,70.6,68.93,69.86,69.860001,292865,292865,0.61,0.88087,69.8,"June 29, 23",0.0088087
2023-06-28,68.01,69.73,67.05,69.56,69.559998,368295,368295,1.55,2.28,68.78,"June 28, 23",0.0228
2023-06-27,69.49,70.15,67.5,67.7,67.699997,384752,384752,-1.79,-2.58,68.45,"June 27, 23",-0.0258
2023-06-26,69.84,70.11,68.71,69.37,69.370003,280116,280116,-0.47,-0.67297,69.4,"June 26, 23",-0.0067297
2023-06-25,69.84,69.84,69.41,69.56,69.559998,1100,1100,-0.28,-0.40092,69.6,"June 25, 23",-0.0040092
2023-06-23,69.53,69.65,67.35,69.16,69.160004,322475,322475,-0.37,-0.53214,68.72,"June 23, 23",-0.0053214
2023-06-22,72.43,72.65,68.93,69.51,69.510002,421348,421348,-2.92,-4.03,70.36,"June 22, 23",-0.0403
2023-06-21,70.9,72.72,70.8,72.53,72.529999,264656,264656,1.63,2.3,72.02,"June 21, 23",0.023
2023-06-20,71.45,72.09,69.65,70.5,70.5,430492,430492,-0.95,-1.33,70.75,"June 20, 23",-0.0133
2023-06-16,70.55,71.89,69.95,71.78,71.779999,99185,99185,1.23,1.74,71.21,"June 16, 23",0.0174
2023-06-15,68.7,70.96,67.97,70.62,70.620003,115613,115613,1.92,2.79,69.85,"June 15, 23",0.0279
2023-06-14,69.35,70.49,68.07,68.27,68.269997,304449,304449,-1.08,-1.56,68.94,"June 14, 23",-0.0156
2023-06-13,67.31,69.83,67.15,69.42,69.419998,366354,366354,2.11,3.13,68.8,"June 13, 23",0.0313
2023-06-12,70.27,70.33,66.8,67.12,67.120003,404769,404769,-3.15,-4.48,68.08,"June 12, 23",-0.0448
2023-06-09,70.94,71.77,70.1,70.17,70.169998,300724,300724,-0.77,-1.09,70.68,"June 09, 23",-0.0109
2023-06-08,72.47,73.28,69.03,71.29,71.290001,485396,485396,-1.18,-1.63,71.2,"June 08, 23",-0.0163
2023-06-07,71.56,73.19,71.01,72.53,72.529999,299127,299127,0.97,1.36,72.24,"June 07, 23",0.0136
2023-06-06,71.99,72.33,70.13,71.74,71.739998,314962,314962,-0.25,-0.34727,71.4,"June 06, 23",-0.0034727
2023-06-05,75.03,75.06,71.73,72.15,72.150002,383943,383943,-2.88,-3.84,72.98,"June 05, 23",-0.0384
2023-06-02,70.21,72.17,70,71.74,71.739998,322596,322596,1.53,2.18,71.3,"June 02, 23",0.0218
2023-06-01,67.6,71.07,67.51,70.1,70.099998,395393,395393,2.5,3.7,69.56,"June 01, 23",0.037
2023-05-31,69.62,69.69,67.03,68.09,68.089996,444787,444787,-1.53,-2.2,68.27,"May 31, 23",-0.022
2023-05-30,73.23,73.55,69.02,69.46,69.459999,440862,440862,-3.77,-5.15,70.68,"May 30, 23",-0.0515
2023-05-26,71.89,73.05,71.49,72.67,72.669998,261498,261498,0.78,1.08,72.4,"May 26, 23",0.0108
2023-05-25,74.21,74.37,70.98,71.83,71.830002,422637,422637,-2.38,-3.21,72.39,"May 25, 23",-0.0321
2023-05-24,73.77,74.73,73.13,74.34,74.339996,386611,386611,0.57,0.77267,74.07,"May 24, 23",0.0077267
2023-05-23,72.1,73.79,71.71,72.91,72.910004,317586,317586,0.81,1.12,72.8,"May 23, 23",0.0112
2023-05-22,71.7,72.36,70.55,71.99,71.989998,263977,263977,0.29,0.40446,71.63,"May 22, 23",0.0040446
