date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,4287.5,4358.5,4242.25,4345.25,4345.25,2119636,2119636,57.75,1.35,4315.33,"October 06, 23",0.0135
2023-10-05,4291.5,4302,4258,4290.75,4290.75,2168271,2168271,-0.75,-0.01747641,4283.58,"October 05, 23",-0.0001747641
2023-10-04,4262.75,4304,4235.5,4297.75,4297.75,2168271,2168271,35,0.82107,4279.08,"October 04, 23",0.0082107
2023-10-03,4326,4335.75,4251.25,4264.75,4264.75,2256808,2256808,-61.25,-1.42,4283.92,"October 03, 23",-0.0142
2023-10-02,4349,4355.5,4295.5,4324.25,4324.25,1950463,1950463,-24.75,-0.5691,4325.08,"October 02, 23",-0.005691
2023-10-01,4349,4354,4337.75,4345.25,4345.25,13299,13299,-3.75,-0.08622672,4345.67,"October 01, 23",-0.0008622672
2023-09-29,4342,4371.25,4311,4325.5,4325.5,2106053,2106053,-16.5,-0.38001,4335.92,"September 29, 23",-0.0038001
2023-09-28,4323.25,4355.75,4301,4337.5,4337.5,2012088,2012088,14.25,0.32961,4331.42,"September 28, 23",0.0032961
2023-09-27,4320.25,4336.5,4277,4313.5,4313.5,1965913,1965913,-6.75,-0.15624,4309,"September 27, 23",-0.0015624
2023-09-26,4382,4382,4305.5,4314.75,4314.75,1758048,1758048,-67.25,-1.53,4334.08,"September 26, 23",-0.0153
2023-09-25,4365,4383.5,4338.25,4378.75,4378.75,1561595,1561595,13.75,0.31501,4366.83,"September 25, 23",0.0031501
2023-09-24,4365,4369.5,4364.25,4368.75,4368.75,5452,5452,3.75,0.08591065,4367.5,"September 24, 23",0.0008591065
2023-09-22,4370.25,4399,4357.25,4361,4361,1736576,1736576,-9.25,-0.21166,4372.42,"September 22, 23",-0.0021166
2023-09-21,4445,4447,4366.5,4372,4372,1998638,1998638,-73,-1.64,4395.17,"September 21, 23",-0.0164
2023-09-20,4491.25,4508,4443.25,4447,4447,1482206,1482206,-44.25,-0.98525,4466.08,"September 20, 23",-0.0098525
2023-09-19,4503.25,4509.5,4462.25,4490,4490,1422950,1422950,-13.25,-0.29423,4487.25,"September 19, 23",-0.0029423
