date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,3.57,3.65,3.55,3.63,3.63,85652,85652,0.06,1.68,3.61,"October 06, 23",0.0168
2023-10-05,3.57,3.58,3.55,3.55,3.55,395,395,-0.02,-0.56022,3.56,"October 05, 23",-0.0056022
2023-10-04,3.61,3.61,3.57,3.58,3.58,395,395,-0.03,-0.83102,3.59,"October 04, 23",-0.0083102
2023-10-03,3.63,3.63,3.61,3.62,3.62,525,525,-0.01,-0.27548,3.62,"October 03, 23",-0.0027548
2023-10-02,3.69,3.69,3.63,3.63,3.63,621,621,-0.06,-1.63,3.65,"October 02, 23",-0.0163
2023-10-01,3.75,3.76,3.74,3.74,3.74,744,744,-0.01,-0.26667,3.74,"October 01, 23",-0.0026667
2023-09-29,3.74,3.77,3.72,3.73,3.73,815,815,-0.01,-0.26738,3.74,"September 29, 23",-0.0026738
2023-09-28,3.63,3.7,3.62,3.69,3.69,935,935,0.06,1.65,3.67,"September 28, 23",0.0165
2023-09-27,3.62,3.63,3.62,3.63,3.63,1228,1228,0.01,0.27624,3.62,"September 27, 23",0.0027624
2023-09-26,3.62,3.64,3.62,3.63,3.63,702,702,0.01,0.27624,3.63,"September 26, 23",0.0027624
2023-09-25,3.66,3.67,3.65,3.65,3.65,1582,1582,-0.01,-0.27322,3.65,"September 25, 23",-0.0027322
2023-09-24,3.7,3.7,3.7,3.7,3.7,341,341,0,0,3.7,"September 24, 23",0
2023-09-22,3.69,3.69,3.67,3.67,3.67,586,586,-0.02,-0.54201,3.67,"September 22, 23",-0.0054201
2023-09-21,3.71,3.72,3.61,3.67,3.67,628,628,-0.04,-1.08,3.67,"September 21, 23",-0.0108
2023-09-20,3.73,3.75,3.71,3.75,3.75,842,842,0.02,0.53619,3.73,"September 20, 23",0.0053619
2023-09-19,3.71,3.71,3.7,3.71,3.71,717,717,0,0,3.71,"September 19, 23",0
2023-09-18,3.75,3.75,3.73,3.74,3.74,674,674,-0.01,-0.26667,3.74,"September 18, 23",-0.0026667
2023-09-17,3.8,3.8,3.79,3.8,3.8,57,57,0,0,3.8,"September 17, 23",0
2023-09-15,3.81,3.81,3.76,3.76,3.76,556,556,-0.05,-1.31,3.78,"September 15, 23",-0.0131
2023-09-14,3.8,3.8,3.76,3.78,3.78,545,545,-0.02,-0.52632,3.78,"September 14, 23",-0.0052632
2023-09-13,3.75,3.76,3.75,3.76,3.76,509,509,0.01,0.26667,3.76,"September 13, 23",0.0026667
