date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-08-21,43.54,43.58,43.445,43.485,43.485,953672,953672,-0.055,-0.12632062,43.5,"August 21, 23",-0.0012632062
2023-08-18,43.17,43.39,43.13,43.33,43.33,3383945,3368809,0.16,0.37063,43.29,"August 18, 23",0.0037063
2023-08-17,43.405,43.49,43.19,43.2,43.2,2144877,2144900,-0.205,-0.4723,43.32,"August 17, 23",-0.004723
2023-08-16,43.4,43.59,43.32,43.36,43.36,2676199,2676100,-0.04,-0.0921659,43.46,"August 16, 23",-0.000921659
2023-08-15,43.41,43.41,43.18,43.23,43.23,3011844,3011800,-0.18,-0.41465,43.24,"August 15, 23",-0.0041465
2023-08-14,43.34,43.4965,43.3,43.47,43.47,4010439,4010300,0.13,0.29995,43.43,"August 14, 23",0.0029995
2023-08-11,43.83,43.83,43.54,43.62,43.62,4396556,4199800,-0.21,-0.47912,43.69,"August 11, 23",-0.0047912
2023-08-10,44.07,44.17,43.81,43.87,43.87,1966071,1966000,-0.2,-0.45382,43.96,"August 10, 23",-0.0045382
2023-08-09,44.11,44.11,43.885,43.94,43.94,1945941,1945900,-0.17,-0.3854,43.97,"August 09, 23",-0.003854
2023-08-08,44.06,44.06,43.76,43.93,43.93,1604029,1604000,-0.13,-0.29505,43.86,"August 08, 23",-0.0029505
2023-08-07,44.17,44.19,44.0525,44.19,44.19,1672294,1672200,0.02,0.0452796,44.13,"August 07, 23",0.000452796
2023-08-04,43.97,44.1899,43.86,44.03,44.03,2375126,2375000,0.06,0.13646,44.04,"August 04, 23",0.0013646
2023-08-03,43.61,43.7096,43.595,43.6,43.6,3235399,3235300,-0.01,-0.02293052,43.64,"August 03, 23",-0.0002293052
2023-08-02,43.95,43.95,43.63,43.71,43.71,3043410,3042600,-0.24,-0.54608,43.72,"August 02, 23",-0.0054608
2023-08-01,44.59,44.63,44.4,44.48,44.48,1821139,1820800,-0.11,-0.24669,44.46,"August 01, 23",-0.0024669
2023-07-31,44.63,44.76,44.55,44.76,44.759998,2614250,2614100,0.13,0.29128,44.7,"July 31, 23",0.0029128
2023-07-28,44.53,44.55,44.46,44.5,44.5,1717948,1716900,-0.03,-0.06737031,44.51,"July 28, 23",-0.0006737031
2023-07-27,44.64,44.64,44.21,44.23,44.23,3350819,3350800,-0.41,-0.91846,44.38,"July 27, 23",-0.0091846
2023-07-26,44.55,44.785,44.5,44.68,44.68,2887116,2887100,0.13,0.29181,44.67,"July 26, 23",0.0029181
2023-07-25,44.51,44.59,44.5,44.51,44.509998,1485742,1485700,0,0,44.53,"July 25, 23",0
2023-07-24,44.44,44.53,44.36,44.53,44.529999,1963834,1963700,0.09,0.20252,44.49,"July 24, 23",0.0020252
2023-07-21,44.5,44.51,44.35,44.36,44.360001,1574856,1574700,-0.14,-0.31461,44.39,"July 21, 23",-0.0031461
