date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,316.55,329.19,316.3,327.26,327.26,25029229,24635732,10.71,3.38,325,"October 06, 23",0.0338
2023-10-05,319.09,319.98,314.9,319.36,319.36,16965629,16965600,0.27,0.08461563,317.9,"October 05, 23",0.0008461563
2023-10-04,314.03,320.04,314,318.955,318.96,20717444,20720100,4.925,1.57,317.96,"October 04, 23",0.0157
2023-10-03,320.83,321.39,311.215,313.39,313.39,21027792,21033500,-7.44,-2.32,314.36,"October 03, 23",-0.0232
2023-10-02,316.28,321.888,315.18,321.8,321.8,20570006,20570000,5.52,1.75,319.56,"October 02, 23",0.0175
2023-09-29,317.75,319.47,314.98,315.75,315.75,24147298,24140300,-2,-0.62943,316.67,"September 29, 23",-0.0062943
2023-09-28,310.99,315.48,309.45,313.64,313.64,19681064,19683600,2.65,0.85212,312.8,"September 28, 23",0.0085212
2023-09-27,312.3,314.299,309.69,312.79,312.79,19370182,19410100,0.49,0.1569,311.9,"September 27, 23",0.001569
2023-09-26,315.13,315.88,310.02,312.14,312.14,25647573,26297600,-2.99,-0.94881,312.11,"September 26, 23",-0.0094881
2023-09-25,316.59,317.67,315,317.54,317.54,17835964,17836000,0.95,0.30007,316.58,"September 25, 23",0.0030007
2023-09-22,321.32,321.45,316.15,317.01,317.01,21436887,21429700,-4.31,-1.34,318.43,"September 22, 23",-0.0134
2023-09-21,319.26,325.3499,315,319.53,319.53,35560362,35529500,0.27,0.08457057,320.95,"September 21, 23",0.0008457057
2023-09-20,329.51,329.59,320.51,320.77,320.77,21399225,21436500,-8.74,-2.65,324.46,"September 20, 23",-0.0265
2023-09-19,326.17,329.39,324.51,328.65,328.65,16514487,16505900,2.48,0.76034,327.21,"September 19, 23",0.0076034
2023-09-18,327.8,330.4,326.36,329.06,329.06,16834208,16834200,1.26,0.38438,328.66,"September 18, 23",0.0038438
2023-09-15,336.92,337.3975,329.65,330.22,330.22,37503592,37666900,-6.7,-1.99,332.29,"September 15, 23",-0.0199
2023-09-14,339.148,340.86,336.57,338.7,338.7,20263548,20267000,-0.448,-0.1321,339.01,"September 14, 23",-0.001321
2023-09-13,331.31,336.85,331.17,336.06,336.06,16544412,16544400,4.75,1.43,335.27,"September 13, 23",0.0143
2023-09-12,335.815,336.79,331.48,331.77,331.77,17562282,17565500,-4.045,-1.2,333.04,"September 12, 23",-0.012
2023-09-11,337.24,338.42,335.43,337.94,337.94,16583324,16583300,0.7,0.20757,337.32,"September 11, 23",0.0020757
2023-09-08,330.09,336.16,329.46,334.27,334.27,19548165,19530100,4.18,1.27,334.38,"September 08, 23",0.0127
2023-09-07,331.29,333.08,329.03,329.91,329.91,18369595,18381000,-1.38,-0.41655,330.62,"September 07, 23",-0.0041655
2023-09-06,333.38,334.46,330.18,332.88,332.88,17535773,17535800,-0.5,-0.14998,332.26,"September 06, 23",-0.0014998
