date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,362.25,369.3,359.95,363.8,363.8,252,252,1.55,0.42788,364.35,"October 06, 23",0.0042788
2023-10-05,366.25,375.95,365.65,375.95,375.95,632,632,9.7,2.65,372.52,"October 05, 23",0.0265
2023-10-04,354,366.2,352.6,365.95,365.95,632,632,11.95,3.38,361.58,"October 04, 23",0.0338
2023-10-03,355.05,359.05,348.25,356.2,356.2,329,329,1.15,0.3239,354.5,"October 03, 23",0.003239
2023-10-02,352,359.75,351.6,354.8,354.8,501,501,2.8,0.79545,355.38,"October 02, 23",0.0079545
2023-09-29,344.65,351.95,341.05,349.75,349.75,445,445,5.1,1.48,347.58,"September 29, 23",0.0148
2023-09-28,354.85,358.45,345.1,345.8,345.8,515,515,-9.05,-2.55,349.78,"September 28, 23",-0.0255
2023-09-27,351.65,369,348.5,355.1,355.1,824,824,3.45,0.98109,357.53,"September 27, 23",0.0098109
2023-09-26,340.45,349.4,339.75,349.4,349.4,476,476,8.95,2.63,346.18,"September 26, 23",0.0263
2023-09-25,341.8,343.15,338.3,339.4,339.4,266,266,-2.4,-0.70217,340.28,"September 25, 23",-0.0070217
2023-09-22,341.15,345.7,339.35,341.6,341.6,218,218,0.45,0.13191,342.22,"September 22, 23",0.0013191
2023-09-21,345.8,345.8,337.25,340.55,340.55,274,274,-5.25,-1.52,341.2,"September 21, 23",-0.0152
2023-09-20,340,344.1,338.25,343.4,343.4,257,257,3.4,1,341.92,"September 20, 23",0.01
2023-09-19,341.05,347,337.2,340,340,590,590,-1.05,-0.30787,341.4,"September 19, 23",-0.0030787
2023-09-18,332.3,341.25,330.7,339.05,339.05,734,734,6.75,2.03,337,"September 18, 23",0.0203
2023-09-15,332.25,333.9,328.25,331.25,331.25,414,414,-1,-0.30098,331.13,"September 15, 23",-0.0030098
2023-09-14,326.8,332,326.75,331.2,331.2,443,443,4.4,1.35,329.98,"September 14, 23",0.0135
2023-09-13,333,333,325,325.7,325.7,351,351,-7.3,-2.19,327.9,"September 13, 23",-0.0219
2023-09-12,327.85,333.65,325.5,331.5,331.5,432,432,3.65,1.11,330.22,"September 12, 23",0.0111
2023-09-11,343.45,343.45,343.45,343.45,343.45,575,575,0,0,343.45,"September 11, 23",0
2023-09-08,355,390,349.9,349.6,349.6,140,140,-5.4,-1.52,363.17,"September 08, 23",-0.0152
2023-09-07,350.05,350.9,348,350.95,350.95,17,17,0.9,0.25711,349.95,"September 07, 23",0.0025711
2023-09-06,349.95,350,345,346.15,346.15,34,34,-3.8,-1.09,347.05,"September 06, 23",-0.0109
2023-09-05,326.05,333,326.05,332.15,332.15,7,7,6.1,1.87,330.4,"September 05, 23",0.0187
2023-09-01,328,329.5,328,327.35,327.35,0,0,-0.65,-0.19817,328.28,"September 01, 23",-0.0019817
2023-08-31,334.25,340.6,328,328.15,328.15,55,55,-6.1,-1.82,332.25,"August 31, 23",-0.0182
2023-08-30,329.7,334.3,327.05,334.3,334.3,125,125,4.6,1.4,331.88,"August 30, 23",0.014
2023-08-29,318.5,331.7,318.5,324.3,324.3,328,328,5.8,1.82,324.83,"August 29, 23",0.0182
2023-08-28,314.75,322.55,310.5,319.2,321.9,0,0,4.45,1.41,316.75,"August 28, 23",0.0141
2023-08-27,320,324.5,308.3,315.15,315.15,0,0,-4.85,-1.52,316.98749999999995,"August 27, 23",-0.0152
