date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-08-21,147.41,147.684,146.705,146.8296,146.8296,1052667,1052667,-0.5804,-0.39373177,147.07,"August 21, 23",-0.0039373177
2023-08-18,146.13,147.52,145.92,147.28,147.28,4653133,4634914,1.15,0.78697,147.08,"August 18, 23",0.0078697
2023-08-17,148.74,148.83,146.93,147.02,147.02,5092229,5092200,-1.72,-1.16,148,"August 17, 23",-0.0116
2023-08-16,149.05,149.67,148.12,148.16,148.16,5386231,5386200,-0.89,-0.59712,148.93,"August 16, 23",-0.0059712
2023-08-15,150.34,150.39,149.0931,149.25,149.25,3440013,3439800,-1.09,-0.72502,149.62,"August 15, 23",-0.0072502
2023-08-14,150.99,151.26,150.45,151.24,151.24,2929123,2929100,0.25,0.16557,150.98,"August 14, 23",0.0016557
2023-08-11,150.77,151.68,150.63,151.27,151.27,4139366,4139400,0.5,0.33163,151.18,"August 11, 23",0.0033163
2023-08-10,152.16,153.11,150.91,151.24,151.24,3943459,3943500,-0.92,-0.60463,151.92,"August 10, 23",-0.0060463
2023-08-09,151.98,152.44,151.2,151.42,151.42,5116412,5116400,-0.56,-0.36847,151.94,"August 09, 23",-0.0036847
2023-08-08,151.26,152.01,150.395,151.86,151.86,3521718,3521700,0.6,0.39667,151.17,"August 08, 23",0.0039667
2023-08-07,151.92,152.71,151.87,152.62,152.62,3359101,3359000,0.7,0.46077,152.42,"August 07, 23",0.0046077
2023-08-04,152.35,153.13,151.15,151.34,151.34,4016278,4016200,-1.01,-0.66295,152.11,"August 04, 23",-0.0066295
2023-08-03,152.2,152.535,151.44,152.02,152.02,4872304,4871400,-0.18,-0.11827,152.03,"August 03, 23",-0.0011827
2023-08-02,153.07,153.53,152.45,152.78,152.78,6038439,6038100,-0.29,-0.18946,152.92,"August 02, 23",-0.0018946
2023-08-01,154.18,154.65,153.775,154.25,154.25,3041805,3038100,0.07,0.04540148,154.16,"August 01, 23",0.0004540148
2023-07-31,154.75,155.19,154.35,154.88,154.880005,3809778,3809500,0.13,0.08400646,154.72,"July 31, 23",0.0008400646
2023-07-28,155.05,155.1,153.79,154.4,154.399994,6004459,6004400,-0.65,-0.41922,154.4,"July 28, 23",-0.0041922
2023-07-27,155.77,155.77,153.37,153.64,153.639999,6057576,6057500,-2.13,-1.37,154.58,"July 27, 23",-0.0137
2023-07-26,154.35,155.33,154.26,155,155,5149062,5149100,0.65,0.42112,154.78,"July 26, 23",0.0042112
2023-07-25,154.34,155.08,154.1101,154.65,154.649994,5010504,5010400,0.31,0.20086,154.71,"July 25, 23",0.0020086
2023-07-24,154.4,154.83,154.055,154.54,154.539993,3357782,3358000,0.14,0.09067358,154.49,"July 24, 23",0.0009067358
2023-07-21,154.4,154.588,153.63,154.11,154.110001,5511824,5511700,-0.29,-0.18782,154.24,"July 21, 23",-0.0018782
2023-07-20,153.89,154.17,153.35,153.89,153.889999,7542381,7542400,0,0,153.85,"July 20, 23",0
2023-07-19,153.59,154.32,153.43,154.05,154.050003,8551772,8551800,0.46,0.2995,153.89,"July 19, 23",0.002995
2023-07-18,152.35,153.5968,152.22,153.29,153.289993,5442583,5442600,0.94,0.617,153.06,"July 18, 23",0.00617
2023-07-17,151.78,152.77,151.32,152.35,152.350006,5353084,5352900,0.57,0.37554,152.27,"July 17, 23",0.0037554
2023-07-14,153.1,153.1,151.68,152.06,152.059998,6345334,6345100,-1.04,-0.67929,152.07,"July 14, 23",-0.0067929
2023-07-13,152.69,153.195,152.34,152.96,152.960007,5458423,5458400,0.27,0.17683,152.84,"July 13, 23",0.0017683
2023-07-12,152.97,153.02,152.065,152.24,152.240005,6668945,6668900,-0.73,-0.47722,152.52,"July 12, 23",-0.0047722
2023-07-11,150.22,151.715,150.19,151.54,151.539993,10166446,10166300,1.32,0.87871,150.96,"July 11, 23",0.0087871
2023-07-10,148.42,150.03,148.36,149.85,149.850006,4145776,4145800,1.43,0.96348,149.6,"July 10, 23",0.0096348
2023-07-07,147.91,149.795,147.82,148.52,148.520004,3213332,3213100,0.61,0.41241,148.94,"July 07, 23",0.0041241
2023-07-06,148,148.29,146.94,148.15,148.149994,7769499,7769500,0.15,0.10135,147.79,"July 06, 23",0.0010135
2023-07-05,149.39,149.83,148.87,149.37,149.369995,4334011,4333900,-0.02,-0.01338778,149.4,"July 05, 23",-0.0001338778
2023-07-03,149.35,150.24,149.15,150.01,150.009995,2797325,2797300,0.66,0.44191,149.92,"July 03, 23",0.0044191
2023-06-30,149.25,150.015,148.89,149.64,149.639999,4742324,4738600,0.39,0.26131,149.6,"June 30, 23",0.0026131
2023-06-29,147.13,148.35,146.8375,148.33,148.330002,7610721,7610700,1.2,0.81561,147.94,"June 29, 23",0.0081561
2023-06-28,147.17,147.315,146.48,147.18,147.179993,4335597,4335600,0.01,0.00679486,146.89,"June 28, 23",6.79486e-05
2023-06-27,145.86,147.64,145.5899,147.43,147.429993,8877826,8880500,1.57,1.08,146.82,"June 27, 23",0.0108
2023-06-26,144.77,146.035,144.77,145.65,145.649994,4300014,4300000,0.88,0.60786,145.63,"June 26, 23",0.0060786
2023-06-23,145.01,145.48,144.52,144.77,144.770004,3869591,3869200,-0.24,-0.16551,144.99,"June 23, 23",-0.0016551
2023-06-22,146.42,146.55,145.465,146.03,146.029999,3852465,3852200,-0.39,-0.26636,145.89,"June 22, 23",-0.0026636
2023-06-21,146.4,147.16,145.83,146.63,146.630005,5479229,5481700,0.23,0.1571,146.74,"June 21, 23",0.001571
2023-06-20,147.47,147.49,146.29,146.84,146.839996,4514569,4514200,-0.63,-0.42721,146.92,"June 20, 23",-0.0042721
2023-06-16,149.61,149.88,148.6,148.83,148.188004,11152892,11152200,-0.78,-0.52136,149.02,"June 16, 23",-0.0052136
2023-06-15,146.95,149.3,146.95,148.95,148.30748,5177391,5177400,2,1.36,148.26,"June 15, 23",0.0136
2023-06-14,147.92,148.46,146.415,147.25,146.614822,8456417,8456400,-0.67,-0.45295,147.51,"June 14, 23",-0.0045295
2023-06-13,146.59,147.75,146.4,147.53,146.8936,6802450,6802500,0.94,0.64124,147.41,"June 13, 23",0.0064124
2023-06-12,145.45,146.21,145,146.12,145.489685,3733796,3733100,0.67,0.46064,145.64,"June 12, 23",0.0046064
2023-06-09,145.5,145.84,144.83,145.16,144.533829,4396827,4396800,-0.34,-0.23368,145.26,"June 09, 23",-0.0023368
2023-06-08,145.05,145.545,144.3401,145.33,144.703094,5882410,5882400,0.28,0.19304,145.09,"June 08, 23",0.0019304
2023-06-07,144.48,145.465,144.155,145.27,144.643356,13306342,13306200,0.79,0.54679,145.03,"June 07, 23",0.0054679
2023-06-06,143.17,144.42,143.03,144.21,143.587936,5333256,5333300,1.04,0.72641,143.94,"June 06, 23",0.0072641
2023-06-05,143.91,143.96,143,143.24,142.622116,6499914,5415100,-0.67,-0.46557,143.48,"June 05, 23",-0.0046557
2023-06-02,141.9,144.03,141.83,143.73,143.110001,10284578,10275800,1.83,1.29,143.24,"June 02, 23",0.0129
2023-06-01,139.87,141.11,139.05,140.66,140.053253,4437512,4478300,0.79,0.56481,140.34,"June 01, 23",0.0056481
2023-05-31,140.13,140.22,138.81,139.61,139.007767,7611253,7611200,-0.52,-0.37108,139.33,"May 31, 23",-0.0037108
2023-05-30,141.37,141.72,140.36,140.84,140.232468,8268527,8268500,-0.53,-0.3749,140.82,"May 30, 23",-0.003749
2023-05-26,140.21,141.27,140.03,141.09,140.481384,4572528,4572500,0.88,0.62763,140.86,"May 26, 23",0.0062763
2023-05-25,140.18,140.4,138.95,139.92,139.316437,4696067,4696000,-0.26,-0.18548,139.73,"May 25, 23",-0.0018548
2023-05-24,140.93,141.01,139.73,140.01,139.406036,2940474,2940500,-0.92,-0.65281,140.12,"May 24, 23",-0.0065281
2023-05-23,142.6,143.1,141.44,141.55,140.939407,6919652,6919600,-1.05,-0.73633,142.53,"May 23, 23",-0.0073633
2023-05-22,142.94,143.68,142.22,143.08,142.462799,4411565,4411500,0.14,0.09794319,143.09,"May 22, 23",0.0009794319
2023-05-19,143.68,143.87,142.33,142.86,142.243759,5758215,5757900,-0.82,-0.57071,143.13,"May 19, 23",-0.0057071
2023-05-18,141.87,143.39,141.61,143.24,142.622116,3799961,3800000,1.37,0.96567,142.53,"May 18, 23",0.0096567
2023-05-17,141.06,142.395,140.42,142.09,141.477066,6902694,6902700,1.03,0.73019,141.63,"May 17, 23",0.0073019
2023-05-16,141.86,141.86,140.29,140.31,139.704742,4668578,4668100,-1.55,-1.09,140.77,"May 16, 23",-0.0109
2023-05-15,141.73,142.54,141.26,142.32,141.706085,2322720,2322700,0.59,0.41628,141.93,"May 15, 23",0.0041628
2023-05-12,142.04,142.18,140.605,141.52,140.909531,3477438,3477400,-0.52,-0.36609,141.32,"May 12, 23",-0.0036609
2023-05-11,141.61,141.75,140.7783,141.51,140.899567,3839372,3839400,-0.1,-0.07061648,141.24,"May 11, 23",-0.0007061648
2023-05-10,143.26,143.43,140.92,142.22,141.606522,3871357,3871400,-1.04,-0.72595,142.07,"May 10, 23",-0.0072595
2023-05-09,142.12,142.58,141.76,142.24,141.626434,2242670,2242700,0.12,0.08443569,142.23,"May 09, 23",0.0008443569
2023-05-08,143.42,143.44,142.3,142.77,142.154144,2333099,2332900,-0.65,-0.45321,142.77,"May 08, 23",-0.0045321
2023-05-05,141.9,143.43,141.9,143.03,142.413025,4860322,4860300,1.13,0.79634,142.66,"May 05, 23",0.0079634
2023-05-04,141.69,141.91,140.16,140.66,140.053253,5483295,5483300,-1.03,-0.72694,140.83,"May 04, 23",-0.0072694
2023-05-03,143.1,144.25,141.89,142.01,141.397415,5835813,5835800,-1.09,-0.76171,143.19,"May 03, 23",-0.0076171
2023-05-02,144.53,144.53,141.45,142.84,142.223831,4489764,4489800,-1.69,-1.17,142.71,"May 02, 23",-0.0117
2023-05-01,145.03,145.83,144.86,145.01,144.384476,3000970,3000900,-0.02,-0.01379025,145.28,"May 01, 23",-0.0001379025
2023-04-28,143.26,145.19,143.23,145.14,144.513916,2965351,2965600,1.88,1.31,144.66,"April 28, 23",0.0131
2023-04-27,141.82,143.58,141.43,143.55,142.930786,5993111,5993000,1.73,1.22,142.41,"April 27, 23",0.0122
2023-04-26,142.4,142.48,140.94,141.23,140.620773,5378704,5378700,-1.17,-0.82163,141.62,"April 26, 23",-0.0082163
2023-04-25,144.4,144.4264,142.64,142.72,142.104355,2563214,2563200,-1.68,-1.16,143.39,"April 25, 23",-0.0116
2023-04-24,144.86,145.2925,144.59,145.19,144.563705,1523597,1523600,0.33,0.22781,144.98,"April 24, 23",0.0022781
2023-04-21,145.13,145.13,144.13,144.92,144.294861,2160944,2160900,-0.21,-0.1447,144.7,"April 21, 23",-0.001447
2023-04-20,144.72,145.4,144.39,144.88,144.255051,3451733,3451700,0.16,0.11056,144.94,"April 20, 23",0.0011056
2023-04-19,145,145.85,144.87,145.68,145.051575,1784880,1784900,0.68,0.46897,145.41,"April 19, 23",0.0046897
2023-04-18,146.04,146.205,145.1184,145.64,145.011765,1569387,1569400,-0.4,-0.2739,145.56,"April 18, 23",-0.002739
2023-04-17,144.71,145.64,144.44,145.63,145.001816,2399793,2399800,0.92,0.63575,145.1,"April 17, 23",0.0063575
2023-04-14,145.28,145.9865,143.91,144.65,144.026031,2504278,2504300,-0.63,-0.43365,144.69,"April 14, 23",-0.0043365
2023-04-13,144.45,145.561,143.86,145.31,144.683182,3190715,3190500,0.86,0.59536,144.79,"April 13, 23",0.0059536
2023-04-12,145.81,145.87,143.98,144.2,143.577972,3066063,3066100,-1.61,-1.1,144.84,"April 12, 23",-0.011
2023-04-11,144.39,145.44,144.32,144.9,144.274948,2225240,2225200,0.51,0.35321,145.01,"April 11, 23",0.0035321
