date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,421.97,431.125,420.6,429.54,429.54,112872168,112145114,7.57,1.79,426.95,"October 06, 23",0.0179
2023-10-05,424.36,425.37,421.1701,424.5,424.5,70128794,70142700,0.14,0.03299086,423.59,"October 05, 23",0.0003299086
2023-10-04,422.07,425.4299,420.56,424.66,424.66,87452518,87453000,2.59,0.61364,423.13,"October 04, 23",0.0061364
2023-10-03,425.06,427.3729,420.18,421.59,421.59,103698607,103760600,-3.47,-0.81636,422.3,"October 03, 23",-0.0081636
2023-10-02,426.62,428.6,424.46,427.31,427.31,83798599,83798600,0.69,0.16174,426.35,"October 02, 23",0.0016174
2023-09-29,431.67,431.85,425.91,427.48,427.48,115111319,115078500,-4.19,-0.97065,428.51,"September 29, 23",-0.0097065
2023-09-28,425.48,430.2499,424.87,428.52,428.52,91858308,92258300,3.04,0.71449,427.86,"September 28, 23",0.0071449
2023-09-27,427.09,427.67,422.29,426.05,426.05,104439847,104705800,-1.04,-0.24351,425.42,"September 27, 23",-0.0024351
2023-09-26,429.09,429.82,425.02,425.88,425.88,96130936,96168400,-3.21,-0.74809,427.15,"September 26, 23",-0.0074809
2023-09-25,429.17,432.27,428.72,432.23,432.23,70822134,70874500,3.06,0.713,430.9,"September 25, 23",0.00713
2023-09-22,432.45,434.1,429.99,430.42,430.42,100829684,100757900,-2.03,-0.46942,431.74,"September 22, 23",-0.0046942
2023-09-21,435.7,435.97,431.23,431.39,431.39,102273826,103976100,-4.31,-0.98921,433.71,"September 21, 23",-0.0098921
2023-09-20,444.01,444.435,438.43,438.64,438.64,82472602,82562600,-5.37,-1.21,441.43,"September 20, 23",-0.0121
2023-09-19,442.68,443.29,439.94,442.71,442.71,66514648,66514600,0.03,0.0067769,441.96,"September 19, 23",6.7769e-05
2023-09-18,443.05,444.97,442.56,443.63,443.63,55752213,55752200,0.58,0.13091,443.65,"September 18, 23",0.0013091
2023-09-15,447.14,447.48,442.92,443.37,443.37,111798734,111761400,-3.77,-0.84314,444.9,"September 15, 23",-0.0084314
2023-09-14,449.07,451.08,447.715,450.36,448.78,83133514,83430800,1.29,0.28726,449.44,"September 14, 23",0.0028726
2023-09-13,446.22,447.71,445.0793,446.51,444.94,60123672,60199300,0.29,0.06499036,446.53,"September 13, 23",0.0006499036
2023-09-12,446.95,448.53,445.39,445.99,444.42,67565422,67565400,-0.96,-0.21479,446.76,"September 12, 23",-0.0021479
2023-09-11,448.24,448.77,446.4699,448.45,446.87,59977618,60180100,0.21,0.0468499,447.85,"September 11, 23",0.000468499
2023-09-08,444.9,447.11,444.53,445.52,443.95,61659700,61659700,0.62,0.13936,445.72,"September 08, 23",0.0013936
2023-09-07,443.11,445.55,442.75,444.85,443.29,70355400,70355400,1.74,0.39268,444.38,"September 07, 23",0.0039268
2023-09-06,448.4,448.51,443.81,446.22,444.65,70758500,70758500,-2.18,-0.48617,446.18,"September 06, 23",-0.0048617
2023-09-05,450.73,451.06,449.17,449.24,447.66,55166200,55166200,-1.49,-0.33057,449.82,"September 05, 23",-0.0033057
2023-09-01,453.17,453.67,449.68,451.19,449.6,58875700,58875700,-1.98,-0.43692,451.51,"September 01, 23",-0.0043692
2023-08-31,451.65,452.83,450.16,450.35,448.77,66084600,66084600,-1.3,-0.28783,451.11,"August 31, 23",-0.0028783
2023-08-30,449.51,451.67,448.78,451.01,449.42,69053900,69053900,1.5,0.3337,450.49,"August 30, 23",0.003337
2023-08-29,442.65,449.45,442.46,449.16,447.58,83081900,83081900,6.51,1.47,447.02,"August 29, 23",0.0147
2023-08-28,442.24,443.4,439.97,442.76,441.2,61595400,61595400,0.52,0.11758,442.04,"August 28, 23",0.0011758
2023-08-25,438.68,441.3,435,439.97,438.42,102325100,102325100,1.29,0.29406,438.76,"August 25, 23",0.0029406
2023-08-24,444.69,445.22,436.86,436.89,435.35,88517300,88517300,-7.8,-1.75,439.66,"August 24, 23",-0.0175
2023-08-23,439.25,443.67,439.1,443.03,441.47,68441000,68441000,3.78,0.86056,441.93,"August 23, 23",0.0086056
2023-08-22,441.18,441.18,437.57,438.15,436.61,65062900,65062900,-3.03,-0.68679,438.97,"August 22, 23",-0.0068679
2023-08-21,437.55,440.11,435.32,439.34,437.8,68719000,68719000,1.79,0.4091,438.26,"August 21, 23",0.004091
2023-08-18,433.37,437.57,433.01,436.5,434.97,98758400,98758400,3.13,0.72225,435.69,"August 18, 23",0.0072225
2023-08-17,441.16,441.43,435.75,436.29,434.76,95711300,95711300,-4.87,-1.1,437.82,"August 17, 23",-0.011
