date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-10-06,164,168.9406,163.52,168.22,168.22,8307283,8307174,4.22,2.57,166.84,"October 06, 23",0.0257
2023-10-05,164.9,165.4,163.15,165.13,165.13,6011478,6011500,0.23,0.13948,164.49,"October 05, 23",0.0013948
2023-10-04,163.01,165.35,163.01,164.91,164.91,7597112,7597100,1.9,1.17,164.21,"October 04, 23",0.0117
2023-10-03,164.75,165.88,162.0398,162.88,162.88,7419358,7419400,-1.87,-1.14,163.32,"October 03, 23",-0.0114
2023-10-02,164.01,166.17,163.76,165.69,165.69,6828077,6828100,1.68,1.02,165.05,"October 02, 23",0.0102
2023-09-29,164.98,166.51,163.37,163.93,163.93,7941908,7941400,-1.05,-0.63644,164.46,"September 29, 23",-0.0063644
2023-09-28,161.45,164.41,160.69,163.37,163.37,6414659,6414700,1.92,1.19,162.87,"September 28, 23",0.0119
2023-09-27,162.75,163.07,160.6122,162.22,162.22,5832571,5832600,-0.53,-0.32565,161.92,"September 27, 23",-0.0032565
2023-09-26,163.86,163.95,161.41,161.97,161.97,7462978,7463000,-1.89,-1.15,162.38,"September 26, 23",-0.0115
2023-09-25,163.99,165.19,163.57,164.94,164.94,5288669,5288700,0.95,0.5793,164.58,"September 25, 23",0.005793
2023-09-22,164.78,165.92,164.04,164.41,164.41,6261583,6187500,-0.37,-0.22454,164.94,"September 22, 23",-0.0022454
2023-09-21,164.85,166.02,163.98,164.06,164.06,7370600,7370600,-0.79,-0.47922,164.69,"September 21, 23",-0.0047922
2023-09-20,169.72,169.94,166.53,166.6,166.6,5380200,5380200,-3.12,-1.84,167.69,"September 20, 23",-0.0184
2023-09-19,168.63,169.69,167.71,169.26,169.26,4118300,4118300,0.63,0.3736,168.89,"September 19, 23",0.003736
2023-09-18,168.05,169.91,168,169.35,169.35,4971900,4971900,1.3,0.77358,169.09,"September 18, 23",0.0077358
2023-09-15,171.59,171.64,168.45,168.9,168.54,6553800,6553800,-2.69,-1.57,169.66,"September 15, 23",-0.0157
2023-09-14,172.02,172.64,170.94,172.21,171.84,4736600,4736600,0.19,0.11045,171.93,"September 14, 23",0.0011045
2023-09-13,170.47,171.89,169.99,170.97,170.61,5004400,5004400,0.5,0.29331,170.95,"September 13, 23",0.0029331
2023-09-12,172.24,172.85,170.23,170.54,170.18,6121500,6121500,-1.7,-0.98699,171.21,"September 12, 23",-0.0098699
2023-09-11,174.31,174.47,172.17,173.69,173.32,4136400,4136400,-0.62,-0.35569,173.44,"September 11, 23",-0.0035569
2023-09-08,172.42,173.9,172.34,172.79,172.42,4292400,4292400,0.37,0.21459,173.01,"September 08, 23",0.0021459
2023-09-07,171.71,172.81,171.08,172.43,172.06,6256800,6256800,0.72,0.41931,172.11,"September 07, 23",0.0041931
2023-09-06,176.14,176.58,173.88,174.96,174.59,9071600,9071600,-1.18,-0.66992,175.14,"September 06, 23",-0.0066992
